Id,SalePrice
1461,150000
1462,140000
1463,188000
1464,165600
1465,213500
1466,188000
1467,235000
1468,165600
1469,62383
1470,133700
1471,193000
1472,159500
1473,100000
1474,172500
1475,143750
1476,350000
1477,214000
1478,174000
1479,274900
1480,268000
1481,395000
1482,119000
1483,187100
1484,153900
1485,210000
1486,265000
1487,240000
1488,255000
1489,145500
1490,137450
1491,137450
1492,108000
1493,169990
1494,268000
1495,260400
1496,172500
1497,148800
1498,168500
1499,177500
1500,177500
1501,153900
1502,170000
1503,307000
1504,213000
1505,139000
1506,179200
1507,231500
1508,162900
1509,127000
1510,135000
1511,177000
1512,124500
1513,167000
1514,150900
1515,121500
1516,165000
1517,162000
1518,142600
1519,281000
1520,119500
1521,120500
1522,124000
1523,120500
1524,140000
1525,132500
1526,169900
1527,156000
1528,134800
1529,110000
1530,235000
1531,159950
1532,110500
1533,110000
1534,144900
1535,143000
1536,110500
1537,58500
1538,189950
1539,128000
1540,122500
1541,171000
1542,162000
1543,140000
1544,126500
1545,141500
1546,175000
1547,134432
1548,141500
1549,85000
1550,102000
1551,119200
1552,171000
1553,109500
1554,135000
1555,165000
1556,134432
1557,131500
1558,128900
1559,83000
1560,127500
1561,188000
1562,144900
1563,143500
1564,135960
1565,169500
1566,228000
1567,76000
1568,259500
1569,135000
1570,190000
1571,119000
1572,135000
1573,270000
1574,112000
1575,132000
1576,176000
1577,141000
1578,112000
1579,147000
1580,163990
1581,151000
1582,110000
1583,213000
1584,210000
1585,170000
1586,86000
1587,141000
1588,128950
1589,82500
1590,150000
1591,139950
1592,150000
1593,143250
1594,142953
1595,156500
1596,175000
1597,145900
1598,248000
1599,189000
1600,180000
1601,34900
1602,132500
1603,132500
1604,275000
1605,240000
1606,171500
1607,188000
1608,194500
1609,141000
1610,130500
1611,122000
1612,372402
1613,193500
1614,154000
1615,133000
1616,83500
1617,106000
1618,144900
1619,145000
1620,171000
1621,143000
1622,315750
1623,220000
1624,84500
1625,102000
1626,124000
1627,187500
1628,348000
1629,176500
1630,319900
1631,173000
1632,179900
1633,188000
1634,211000
1635,165600
1636,175000
1637,186500
1638,179900
1639,350000
1640,162900
1641,213000
1642,137450
1643,214000
1644,263000
1645,185750
1646,176000
1647,148000
1648,109000
1649,129500
1650,120500
1651,132000
1652,100000
1653,137000
1654,155000
1655,127500
1656,146000
1657,128000
1658,223500
1659,125000
1660,270000
1661,345000
1662,350000
1663,140000
1664,290000
1665,139000
1666,306000
1667,215000
1668,139000
1669,350000
1670,174000
1671,141000
1672,555000
1673,252678
1674,192000
1675,254000
1676,193000
1677,185850
1678,174000
1679,174000
1680,277500
1681,318061
1682,192000
1683,171750
1684,184000
1685,337000
1686,160200
1687,231500
1688,183500
1689,213000
1690,189000
1691,160000
1692,403000
1693,162000
1694,174000
1695,180000
1696,214000
1697,193000
1698,215000
1699,271000
1700,259500
1701,270000
1702,141000
1703,120000
1704,192000
1705,307000
1706,555000
1707,119000
1708,145000
1709,230000
1710,203000
1711,178000
1712,232000
1713,236500
1714,158000
1715,175900
1716,184900
1717,207500
1718,184900
1719,200000
1720,141000
1721,155000
1722,158000
1723,155000
1724,184900
1725,228000
1726,236000
1727,179200
1728,66500
1729,110000
1730,142953
1731,132500
1732,127000
1733,135000
1734,128000
1735,142000
1736,128500
1737,210000
1738,190000
1739,281213
1740,193000
1741,149000
1742,171900
1743,173000
1744,222000
1745,165000
1746,277000
1747,200000
1748,250000
1749,158000
1750,119500
1751,233230
1752,115000
1753,133700
1754,195000
1755,165000
1756,62383
1757,127000
1758,159950
1759,163000
1760,139900
1761,167500
1762,195000
1763,262000
1764,139950
1765,132500
1766,182900
1767,271900
1768,128950
1769,157500
1770,144900
1771,132000
1772,144000
1773,167500
1774,143000
1775,89000
1776,132500
1777,160000
1778,150000
1779,168500
1780,173000
1781,150000
1782,169900
1783,187500
1784,100000
1785,139950
1786,144000
1787,130500
1788,105000
1789,88000
1790,64500
1791,142953
1792,139000
1793,148000
1794,144900
1795,132500
1796,156000
1797,166000
1798,124500
1799,156000
1800,115000
1801,144900
1802,80000
1803,160000
1804,147000
1805,115000
1806,125000
1807,93500
1808,115000
1809,178000
1810,205000
1811,163000
1812,157000
1813,110000
1814,141500
1815,113000
1816,156000
1817,68400
1818,139000
1819,130500
1820,143500
1821,155000
1822,130500
1823,68400
1824,114500
1825,152000
1826,110000
1827,156000
1828,165000
1829,132000
1830,131000
1831,128000
1832,107500
1833,127500
1834,134500
1835,189000
1836,98000
1837,148000
1838,153575
1839,150000
1840,179200
1841,93500
1842,118500
1843,148000
1844,128500
1845,172500
1846,143500
1847,108000
1848,82000
1849,134432
1850,132500
1851,119000
1852,97000
1853,143750
1854,141000
1855,131000
1856,213000
1857,241500
1858,142953
1859,90000
1860,153337
1861,118964
1862,320000
1863,142953
1864,345000
1865,236500
1866,236500
1867,137450
1868,174000
1869,279500
1870,212900
1871,174000
1872,220000
1873,280000
1874,84900
1875,179000
1876,193000
1877,214000
1878,235000
1879,144000
1880,125500
1881,305900
1882,222500
1883,175900
1884,255000
1885,139000
1886,174000
1887,203000
1888,213000
1889,231500
1890,122000
1891,85400
1892,135000
1893,103000
1894,142600
1895,108000
1896,156000
1897,114500
1898,139500
1899,90350
1900,110000
1901,165150
1902,128950
1903,129900
1904,131000
1905,161500
1906,121500
1907,335000
1908,124000
1909,161000
1910,124000
1911,139500
1912,289000
1913,231500
1914,141500
1915,277500
1916,98600
1917,178000
1918,235000
1919,161000
1920,135000
1921,370878
1922,180500
1923,259500
1924,137450
1925,141000
1926,378500
1927,139950
1928,139000
1929,150000
1930,179200
1931,147000
1932,143000
1933,178000
1934,372402
1935,188000
1936,204750
1937,188000
1938,256300
1939,297000
1940,235000
1941,186500
1942,340000
1943,137450
1944,204000
1945,174000
1946,160000
1947,319900
1948,280000
1949,157500
1950,149900
1951,294000
1952,136900
1953,172785
1954,171000
1955,109000
1956,169000
1957,165000
1958,137450
1959,136000
1960,120000
1961,119500
1962,83500
1963,125000
1964,143750
1965,148500
1966,106000
1967,220000
1968,325000
1969,230000
1970,139000
1971,176000
1972,350000
1973,210000
1974,350000
1975,140000
1976,285000
1977,240000
1978,265000
1979,251000
1980,137450
1981,277500
1982,170000
1983,193000
1984,281000
1985,315750
1986,178740
1987,141000
1988,219210
1989,141000
1990,215000
1991,185850
1992,162900
1993,162000
1994,179000
1995,176500
1996,239500
1997,350000
1998,213000
1999,271000
2000,280000
2001,315750
2002,232000
2003,216837
2004,189000
2005,179900
2006,230000
2007,174000
2008,206000
2009,175900
2010,263000
2011,158000
2012,141000
2013,213500
2014,173000
2015,284000
2016,119000
2017,194500
2018,110500
2019,144900
2020,129000
2021,128500
2022,175000
2023,88000
2024,172500
2025,262280
2026,119000
2027,177500
2028,173000
2029,177500
2030,236500
2031,236500
2032,286000
2033,215000
2034,175500
2035,168500
2036,165000
2037,137450
2038,239500
2039,197000
2040,225000
2041,222000
2042,266000
2043,118500
2044,175500
2045,132500
2046,112000
2047,109008
2048,129500
2049,150900
2050,110000
2051,132500
2052,132500
2053,162000
2054,79500
2055,110000
2056,144900
2057,66500
2058,219210
2059,143000
2060,150500
2061,162000
2062,119500
2063,124500
2064,141500
2065,132500
2066,157500
2067,134432
2068,101800
2069,109900
2070,135500
2071,134800
2072,120000
2073,132500
2074,112000
2075,116500
2076,156000
2077,124500
2078,98300
2079,176000
2080,132500
2081,88000
2082,112000
2083,140000
2084,135000
2085,139950
2086,120000
2087,120000
2088,134500
2089,98600
2090,173000
2091,122500
2092,128000
2093,105000
2094,147000
2095,122500
2096,98000
2097,110500
2098,132500
2099,37900
2100,134432
2101,163000
2102,157000
2103,110000
2104,122500
2105,105900
2106,82000
2107,177000
2108,139950
2109,160000
2110,116500
2111,140000
2112,105000
2113,144900
2114,135000
2115,228500
2116,117000
2117,154000
2118,93500
2119,104900
2120,130000
2121,156000
2122,171000
2123,156000
2124,144000
2125,166000
2126,200500
2127,177000
2128,119000
2129,79500
2130,109000
2131,197000
2132,64500
2133,144900
2134,135000
2135,130000
2136,122500
2137,100000
2138,109000
2139,169900
2140,156000
2141,171000
2142,129500
2143,134900
2144,169900
2145,129000
2146,235000
2147,134432
2148,132500
2149,147000
2150,187500
2151,114500
2152,244000
2153,175500
2154,122000
2155,134900
2156,268000
2157,137450
2158,187500
2159,210000
2160,223500
2161,350000
2162,213000
2163,395192
2164,230500
2165,241500
2166,123600
2167,203000
2168,200500
2169,163990
2170,210000
2171,108000
2172,155000
2173,128000
2174,222500
2175,240000
2176,230000
2177,255900
2178,210000
